BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460338.036079,0.95365,0.00981,1.1730,-1.01,1.31,7.76,20007
2460338.036845,0.94147,0.00965,1.1712,0.42,0.50,7.26,20907
2460338.037611,0.94771,0.00972,1.1695,0.86,-0.14,7.81,19412
2460338.038365,0.93955,0.00973,1.1677,-0.12,-0.55,7.71,19658
2460338.039119,0.94217,0.00976,1.1660,-0.43,1.03,8.21,18888
2460338.039884,0.93287,0.00972,1.1643,-1.74,2.09,8.27,17377
2460338.040639,0.93179,0.00963,1.1626,-0.21,1.88,7.34,21368
2460338.041404,0.93918,0.00976,1.1610,0.74,0.26,7.97,18487
2460338.042170,0.94450,0.00992,1.1594,0.21,-0.48,9.56,15079
2460338.042924,0.95972,0.00969,1.1578,0.39,-1.79,8.25,18192
2460338.043689,0.94940,0.00955,1.1563,-1.05,1.04,7.52,21404
2460338.044444,0.95134,0.00966,1.1548,-0.68,0.43,8.18,18724
2460338.045209,0.94419,0.00956,1.1533,-0.18,1.53,8.03,20888
2460338.045975,0.94856,0.00976,1.1519,0.51,-0.93,7.98,20761
2460338.046729,0.95844,0.00962,1.1504,0.12,-1.27,7.43,21095
2460338.047495,0.95125,0.00964,1.1490,0.76,-0.78,8.34,18522
2460338.048249,0.95984,0.01026,1.1477,-1.06,1.47,8.97,15033
2460338.049061,0.95614,0.01011,1.1462,-0.33,1.24,9.25,16076
2460338.049815,0.96677,0.01002,1.1449,0.33,0.47,8.11,17611
2460338.050568,0.94879,0.01001,1.1437,-0.09,-0.29,8.17,17535
2460338.051333,0.95412,0.00991,1.1424,0.51,-0.41,8.17,19326
2460338.052087,0.94114,0.01052,1.1412,0.42,-1.90,10.02,12313
2460338.052852,0.94251,0.01006,1.1400,-0.10,-0.12,8.73,16140
2460338.053617,0.95611,0.00994,1.1388,-1.39,1.69,8.52,17128
2460338.054371,0.95715,0.00971,1.1377,-0.50,0.39,7.63,20532
2460338.055124,0.96704,0.00999,1.1365,-0.37,-0.62,8.17,17257
2460338.055889,0.94929,0.01001,1.1354,0.48,-1.04,8.62,16706
2460338.056654,0.96955,0.01003,1.1344,-0.09,-0.80,8.94,16160
2460338.057408,0.96797,0.00991,1.1333,0.72,-0.10,7.89,18753
2460338.058938,0.96013,0.00984,1.1313,-0.37,0.21,8.37,18281
2460338.059703,0.96845,0.01020,1.1303,-1.39,1.90,9.01,15118
2460338.060457,0.96843,0.01000,1.1294,1.32,-0.28,9.00,15007
2460338.061268,0.97438,0.01001,1.1284,-0.15,0.09,8.63,16867
2460338.062033,0.98412,0.01021,1.1276,-0.05,-0.41,9.46,15254
2460338.062786,0.96948,0.01035,1.1267,-0.07,-0.25,9.56,13664
2460338.063540,0.99334,0.00982,1.1259,-0.51,-0.56,8.44,17215
2460338.064305,0.96641,0.01007,1.1251,0.46,0.52,10.22,12804
2460338.065071,0.97906,0.01063,1.1243,0.18,-0.35,10.56,11746
2460338.065836,1.00146,0.01135,1.1235,-0.67,0.77,11.66,10038
2460338.066602,1.00203,0.01342,1.1228,-1.22,2.64,19.89,6712
2460338.067356,0.99528,0.01341,1.1221,0.51,-0.07,21.14,6230
2460338.068156,0.99352,0.01138,1.1214,0.41,0.46,12.32,9050
2460338.068910,1.00838,0.01191,1.1207,1.08,-0.42,14.32,7816
2460338.069676,1.00808,0.01328,1.1201,0.55,-0.46,18.51,6669
2460338.070430,1.00142,0.01079,1.1195,0.20,0.77,11.33,9955
2460338.071184,1.00495,0.01202,1.1189,0.04,0.80,15.38,8622
2460338.071950,1.01869,0.01325,1.1184,-0.14,-0.32,20.51,6690
2460338.072715,1.01072,0.01478,1.1179,0.22,-0.48,25.43,5430
2460338.073468,1.01433,0.01290,1.1174,0.50,-0.24,22.35,6541
2460338.074233,0.98803,0.01412,1.1169,0.45,1.65,22.84,6017
2460338.074987,1.00683,0.01361,1.1164,0.20,0.58,21.05,6374
2460338.075752,1.00274,0.01444,1.1160,0.20,1.58,22.16,6035
2460338.076506,0.99472,0.01291,1.1156,-1.17,1.36,21.76,7070
2460338.077271,1.01284,0.01298,1.1152,0.62,0.87,19.45,6584
2460338.078024,0.98339,0.01206,1.1148,0.93,0.30,19.75,7338
2460338.078790,1.00093,0.01337,1.1145,1.52,0.22,22.69,6234
2460338.079555,1.01072,0.01145,1.1142,0.05,0.28,12.58,8770
2460338.081073,1.01500,0.01184,1.1137,0.30,0.00,16.06,8082
